Nrun	ID	Time	Size	A	B	Width	Length	Dis	Miss	Azwidth	Alpha
1	001457	15:59:09,063.948.780	51	-0.123	25.905	0.922	2.020	33.445	25.711	2.436	0.877
1	001463	15:59:09,089.773.900	201	0.144	-5.155	1.071	1.789	34.926	5.102	2.758	0.147
1	001486	15:59:09,217.025.690	96	1.397	26.334	1.288	2.339	19.242	15.327	4.953	0.922
1	001515	15:59:09,333.233.720	59	-0.493	12.849	1.507	1.803	22.031	11.525	3.365	0.551
1	001519	15:59:09,383.253.060	90	-0.283	14.078	0.905	1.745	14.735	13.547	2.763	1.167
1	001525	15:59:09,399.325.950	68	0.564	15.131	0.808	3.014	26.901	13.180	3.164	0.512
1	001542	15:59:09,481.135.880	74	0.161	9.345	1.719	12.474	23.826	9.226	23.184	0.398
1	001543	15:59:09,483.352.270	172	0.641	-10.718	0.905	2.714	24.027	9.024	2.779	0.385
1	001553	15:59:09,516.844.150	60	0.249	16.580	1.749	4.934	35.383	16.089	7.162	0.472
1	001568	15:59:09,605.295.770	103	0.155	36.715	1.446	2.612	36.580	36.282	7.683	1.443
1	001583	15:59:09,703.277.640	139	0.380	-14.552	1.092	2.036	26.549	13.602	2.303	0.538
1	001596	15:59:09,815.516.410	142	0.628	-19.930	1.681	2.249	16.938	16.880	5.776	1.488
1	001620	15:59:09,966.316.840	274	-0.092	22.218	1.780	3.491	37.921	22.125	8.232	0.623
1	001630	15:59:10,033.829.540	174	4.328	134.736	1.985	2.386	30.492	30.329	7.332	1.467
1	001666	15:59:10,219.706.810	110	-0.219	9.418	1.755	4.060	13.848	9.201	10.093	0.727
1	001690	15:59:10,424.670.050	114	0.989	16.040	1.412	1.664	23.408	11.405	3.751	0.509
1	001696	15:59:10,451.680.300	49	-0.132	4.592	0.970	1.964	10.469	4.553	1.550	0.450
1	001706	15:59:10,489.277.700	147	-0.152	5.773	1.600	2.383	16.188	5.708	3.902	0.360
1	001722	15:59:10,590.807.970	141	-0.319	9.340	1.864	5.859	16.978	8.899	16.046	0.552
1	001726	15:59:10,608.108.040	106	-1.508	26.534	0.876	2.373	15.999	14.662	6.327	1.159
1	001733	15:59:10,637.305.410	101	-16.394	25.920	1.677	3.233	3.693	1.578	4.729	0.442
1	001770	15:59:10,811.772.390	101	0.232	5.400	1.294	2.045	5.588	5.260	3.768	1.227
1	001785	15:59:10,855.751.940	169	2.445	-32.008	0.972	7.142	25.050	12.117	14.668	0.505
1	001814	15:59:11,001.844.650	805	0.081	6.137	2.301	4.369	13.266	6.117	14.671	0.479
1	001826	15:59:11,050.805.410	123	-0.389	-11.899	1.274	2.487	13.704	11.089	4.696	0.943
1	001856	15:59:11,165.430.020	1070	-1.056	-10.007	1.564	13.131	14.614	6.880	51.346	0.490
1	001880	15:59:11,272.907.380	50	6.590	-7.885	1.230	1.991	22.516	1.183	1.623	0.053
1	001881	15:59:11,281.698.670	47	-6.978	59.149	0.936	1.789	15.258	8.390	2.626	0.582
1	001896	15:59:11,338.823.670	125	2.227	51.334	1.505	1.646	26.771	21.027	3.425	0.903
1	001927	15:59:11,482.442.190	283	0.400	17.204	1.167	4.236	20.069	15.975	16.527	0.921
1	001959	15:59:11,644.993.280	186	-0.386	24.651	1.248	1.703	24.596	23.001	6.387	1.209
1	001975	15:59:11,749.217.690	79	-0.479	-10.211	1.098	1.956	14.767	9.209	3.334	0.673
1	002010	15:59:11,862.417.920	230	-0.464	7.295	2.968	5.596	14.560	6.618	15.100	0.472
1	002040	15:59:12,002.852.210	104	0.309	6.583	0.656	2.482	26.540	6.290	1.307	0.239
1	002050	15:59:12,056.751.070	49	1.252	-15.163	1.189	1.560	9.461	9.461	3.374	1.562
1	002062	15:59:12,094.349.050	104	0.028	-20.165	0.673	3.122	24.487	20.158	6.896	0.967
1	002063	15:59:12,096.645.720	85	1.673	8.994	1.025	6.570	21.437	4.615	3.250	0.217
1	002069	15:59:12,106.424.920	290	-54.600	-891.785	1.239	3.084	16.703	16.330	15.018	1.359
1	002076	15:59:12,139.468.190	421	1.073	-37.213	2.109	3.433	25.602	25.371	14.677	1.436
1	002085	15:59:12,172.867.950	168	2.087	19.021	1.131	2.281	18.143	8.218	3.154	0.470
1	002090	15:59:12,191.317.210	69	23.220	627.229	0.878	3.049	27.468	26.988	10.102	1.383
1	002092	15:59:12,196.934.870	441	0.703	-30.007	1.229	4.071	24.654	24.547	17.470	1.478
1	002111	15:59:12,245.107.370	55	-0.989	-37.484	0.835	2.010	26.937	26.655	5.036	1.426
1	002113	15:59:12,250.151.260	616	0.507	-2.409	1.640	6.015	22.605	2.148	5.379	0.095
