Nrun	ID	Time	Size	A	B	Width	Length	Dis	Miss	Azwidth	Alpha
1	002609	15:59:14,756.388.280	5988	-0.275	-14.559	4.437	11.354	24.951	14.038	104.524	0.598
1	002617	15:59:14,800.418.810	44	0.636	4.383	1.006	1.973	27.376	3.699	1.181	0.136
1	002644	15:59:14,942.757.070	176	-5.276	67.239	1.176	7.842	18.992	12.521	33.192	0.720
1	002649	15:59:14,962.913.760	781	1.189	-54.619	1.073	4.671	36.050	35.152	16.333	1.347
1	002717	15:59:15,316.191.150	173	-1.071	-17.582	1.264	4.906	19.700	11.999	11.212	0.655
1	002735	15:59:15,406.422.510	82	-0.520	-4.116	0.952	3.027	24.190	3.652	1.384	0.152
1	002749	15:59:15,480.459.910	882	-2.867	-0.807	1.887	4.750	18.277	0.266	7.329	0.015
1	002797	15:59:15,671.260.760	936	-0.330	-25.973	3.769	5.084	26.265	24.663	37.040	1.220
1	002805	15:59:15,694.170.230	203	0.220	2.578	1.836	3.848	4.579	2.518	11.721	0.582
1	002806	15:59:15,703.020.480	69	0.301	-16.211	0.855	2.030	15.646	15.524	5.057	1.446
1	002810	15:59:15,711.537.330	283	-0.028	15.893	1.329	2.670	31.059	15.887	5.192	0.537
1	002827	15:59:15,819.735.110	65	-0.826	7.342	1.140	2.269	8.316	5.661	3.058	0.749
1	002828	15:59:15,836.416.720	139	-5.209	-16.030	0.997	4.660	17.901	3.022	1.974	0.170
1	002846	15:59:15,942.739.350	618	1.072	-51.709	1.630	2.645	35.415	35.265	10.239	1.479
1	002876	15:59:16,088.466.040	343	-1.719	-6.096	1.222	2.725	18.838	3.065	2.642	0.163
1	002905	15:59:16,257.442.220	168	0.019	10.179	0.891	3.970	26.204	10.177	3.241	0.399
1	002917	15:59:16,311.606.840	11830	0.251	-31.367	2.803	7.277	32.476	30.425	97.016	1.213
1	002935	15:59:16,392.490.150	97	-0.708	-9.742	1.133	3.789	7.963	7.951	16.858	1.516
1	002959	15:59:16,529.380.840	68	-18.413	-18.399	0.973	15.913	2.429	0.998	48.732	0.423
1	002962	15:59:16,545.306.930	192	-11.579	-283.297	1.549	2.026	27.716	24.375	7.059	1.075
1	002972	15:59:16,603.488.730	348	0.735	2.197	1.402	4.595	21.017	1.770	2.787	0.084
1	002997	15:59:16,742.898.720	322	4.401	-55.033	1.295	4.593	29.863	12.194	6.379	0.421
1	003000	15:59:16,767.290.910	1241	2.372	-22.572	2.086	7.799	18.409	8.770	29.811	0.497
1	003008	15:59:16,806.372.760	127	0.718	-33.912	1.590	9.544	28.714	27.549	121.249	1.285
1	003029	15:59:16,933.826.430	85	-0.362	-23.436	0.919	3.167	22.571	22.039	11.244	1.353
1	003035	15:59:16,969.142.940	224	2.165	-39.344	1.339	2.314	17.242	16.500	10.308	1.276
1	003074	15:59:17,200.404.930	92	1.007	-17.706	1.093	3.241	19.423	12.478	6.036	0.698
